comparator,outcome,analysis,adjustment,ptime_covid,num_events_covid,rate_covid,ptime_comparator,num_events_comparator,rate_comparator,hr,lc,uc
gen_population,dvt,dvt_no_gp,crude,8173267,396,.000048450638,137620768,843,6.1255291e-06,6.9677563,6.1883025,7.845387
gen_population,dvt,dvt_no_gp,age_sex,8173267,396,.000048450638,137620768,843,6.1255291e-06,7.3431654,6.5252213,8.2636395
gen_population,dvt,dvt_no_gp,full,8173267,396,.000048450638,137620768,843,6.1255291e-06,5.0006638,4.3089094,5.803473
gen_population,dvt,dvt_cens_gp,crude,8156605,529,.000064855412,137526256,1357,9.8672062e-06,5.7700276,5.2219486,6.3756318
gen_population,dvt,dvt_cens_gp,age_sex,8156605,529,.000064855412,137526256,1357,9.8672062e-06,6.052989,5.4801326,6.6857285
gen_population,dvt,dvt_cens_gp,full,8156605,529,.000064855412,137526256,1357,9.8672062e-06,4.3364019,3.8322778,4.9068422
gen_population,pe,pe,crude,8072211,1652,.00020465272,137560272,1361,9.8938444e-06,14.230227,13.281491,15.246735
gen_population,pe,pe,age_sex,8072211,1652,.00020465272,137560272,1361,9.8938444e-06,14.509686,13.550197,15.537119
gen_population,pe,pe,full,8072211,1652,.00020465272,137560272,1361,9.8938444e-06,9.5240154,8.7421465,10.375813
gen_population,pe,pe_no_gp,crude,8128105,1137,.000139885,137602784,1136,8.2556471e-06,12.274141,11.344945,13.279442
gen_population,pe,pe_no_gp,age_sex,8128105,1137,.000139885,137602784,1136,8.2556471e-06,12.655902,11.704236,13.684948
gen_population,pe,pe_no_gp,full,8128105,1137,.000139885,137602784,1136,8.2556471e-06,8.561162,7.7543807,9.4518814
gen_population,pe,pe_cens_gp,crude,8114579,1270,.00015650842,137570640,1327,9.6459544e-06,11.981602,11.124674,12.904539
gen_population,pe,pe_cens_gp,age_sex,8114579,1270,.00015650842,137570640,1327,9.6459544e-06,12.319588,11.444492,13.261596
gen_population,pe,pe_cens_gp,full,8114579,1270,.00015650842,137570640,1327,9.6459544e-06,8.3403873,7.5936475,9.1605597
gen_population,heart_failure,heart_failure,crude,7756630,5432,.00070030411,135465008,14408,.00010635957,5.0638089,4.9074469,5.225153
gen_population,heart_failure,heart_failure,age_sex,7756630,5432,.00070030411,135465008,14408,.00010635957,5.6711173,5.4913802,5.8567371
gen_population,heart_failure,heart_failure,full,7756630,5432,.00070030411,135465008,14408,.00010635957,2.6551657,2.553102,2.7613091
gen_population,heart_failure,heart_failure_no_gp,crude,7810347,4921,.00063006161,136030112,11706,.000086054482,5.6249509,5.4403663,5.8157978
gen_population,heart_failure,heart_failure_no_gp,age_sex,7810347,4921,.00063006161,136030112,11706,.000086054482,6.3214006,6.1086998,6.5415072
gen_population,heart_failure,heart_failure_no_gp,full,7810347,4921,.00063006161,136030112,11706,.000086054482,2.8404179,2.7239788,2.9618342
gen_population,heart_failure,heart_failure_cens_gp,crude,7785793,5152,.00066171808,135540336,14123,.00010419777,4.9468241,4.7909083,5.1078143
gen_population,heart_failure,heart_failure_cens_gp,age_sex,7785793,5152,.00066171808,135540336,14123,.00010419777,5.5402846,5.3611231,5.7254333
gen_population,heart_failure,heart_failure_cens_gp,full,7785793,5152,.00066171808,135540336,14123,.00010419777,2.5782385,2.4773772,2.6832063
gen_population,mi,mi,crude,8160839,707,.000086633248,137375904,2825,.000020564014,3.6719117,3.3864801,3.981401
gen_population,mi,mi,age_sex,8160839,707,.000086633248,137375904,2825,.000020564014,3.9095447,3.6055501,4.2391701
gen_population,mi,mi,full,8160839,707,.000086633248,137375904,2825,.000020564014,2.5342164,2.3007071,2.7914259
gen_population,mi,mi_no_gp,crude,8180195,533,.000065157372,137435984,2520,.00001833581,3.2527351,2.9658706,3.5673456
gen_population,mi,mi_no_gp,age_sex,8180195,533,.000065157372,137435984,2520,.00001833581,3.4830856,3.175591,3.8203552
gen_population,mi,mi_no_gp,full,8180195,533,.000065157372,137435984,2520,.00001833581,2.1804128,1.9572988,2.4289594
gen_population,mi,mi_cens_gp,crude,8173663,593,.000072550094,137384368,2797,.000020358939,3.2287199,2.9577222,3.5245476
gen_population,mi,mi_cens_gp,age_sex,8173663,593,.000072550094,137384368,2797,.000020358939,3.4504373,3.1604586,3.7670224
gen_population,mi,mi_cens_gp,full,8173663,593,.000072550094,137384368,2797,.000020358939,2.1796868,1.9668678,2.4155333
gen_population,aki,aki,crude,7736033,4669,.00060353929,136219984,10298,.000075598306,6.6613846,6.4348569,6.8958869
gen_population,aki,aki,age_sex,7736033,4669,.00060353929,136219984,10298,.000075598306,7.3155947,7.0626035,7.5776482
gen_population,aki,aki,full,7736033,4669,.00060353929,136219984,10298,.000075598306,3.6976986,3.5402725,3.8621252
gen_population,aki,aki_no_gp,crude,7761042,4456,.00057414972,136266288,10044,.000073708623,6.5699053,6.3419433,6.8060613
gen_population,aki,aki_no_gp,age_sex,7761042,4456,.00057414972,136266288,10044,.000073708623,7.2238641,6.9689851,7.4880643
gen_population,aki,aki_no_gp,full,7761042,4456,.00057414972,136266288,10044,.000073708623,3.6495168,3.4909174,3.8153217
gen_population,aki,aki_cens_gp,crude,7753815,4522,.00058319682,136224704,10277,.00007544153,6.510787,6.2867246,6.742835
gen_population,aki,aki_cens_gp,age_sex,7753815,4522,.00058319682,136224704,10277,.00007544153,7.1582165,6.9076595,7.417861
gen_population,aki,aki_cens_gp,full,7753815,4522,.00058319682,136224704,10277,.00007544153,3.6419747,3.4849117,3.8061163
gen_population,t2dm,t2dm,crude,5543592,670,.00012086026,113567848,2763,.000024329069,4.5515075,4.183578,4.9517946
gen_population,t2dm,t2dm,age_sex,5543592,670,.00012086026,113567848,2763,.000024329069,4.7045956,4.3252363,5.1172276
gen_population,t2dm,t2dm,full,5543592,670,.00012086026,113567848,2763,.000024329069,2.9412081,2.6627648,3.2487679
